#,Category,Capability,Echelon (v0.1),CrewAI,Hatz AI,Alignment,Effort,Recommendation / Notes
14,Memory & Knowledge,Knowledge flywheel / accumulation,Captures learnings on merge; queries prior art before tasks; advisory/counselor verdicts shared globally.,No cross-project institutional-memory flywheel by default.,Community workflow sharing (manual).,UNIQUE,—,Echelon's compounding-memory thesis is a genuine moat. Make it real (it's partly stubbed).
15,Memory & Knowledge,Embedder / vector-store options,mempalace built-in index; single backend.,"11+ embedders (OpenAI/Vertex/Cohere/Voyage/Bedrock/HF/Jina/WatsonX), pluggable StorageBackend.","Pinecone, Snowflake Cortex.",GAP,M,Add a pluggable embedder/vector-store abstraction so power users can bring their own.
16,Memory & Knowledge,Document handling breadth,Vault (SQLite) doc store; attachFile; folders/search.,PDF/CSV/Excel/JSON/web via Docling.,"60+ file types incl. legacy Office, archives, code, AUDIO (mp3/wav/...).",GAP,M,Hatz's 60+ types + audio is the bar. Expand vault ingestion + add an audio/transcription path.
17,Multi-Model / LLM,Multi-provider LLM support,"CLI provider abstraction: Claude, Codex, Gemini, OpenCode, Pi.",Native: OpenAI/Anthropic/Gemini/Azure/Bedrock/Snowflake; +LiteLLM for the rest.,'Mido' gateway: OpenAI/Anthropic/Amazon/Google/DeepSeek/Grok.,STRENGTH,S,Good coverage. Consider a LiteLLM-style fallback router to instantly widen support.
18,Multi-Model / LLM,Per-agent model selection,Provider per agent via CLI provider; not surfaced per-character cleanly.,Per-agent llm + separate function_calling_llm.,Per-task model picker with cost multipliers shown.,DIFFERENT,S,Surface a per-character model picker in the UI; show relative cost (Hatz multipliers idea).
19,Multi-Model / LLM,Multi-model consensus council,"Counselor: 4 models (Gemini/GPT-5/Opus/Grok), 4 placement types, consensus rules — but STUBBED (mock verdicts).",Single-model per task; no consensus council.,Single model per task.,UNIQUE,M,FLAGSHIP differentiator nobody else has — but it returns mock data today. Wiring real fan-out is the #1 unlock.
20,Multi-Model / LLM,LLM gateway w/ cost multipliers,No gateway; keys per provider.,LiteLLM routing; usage_metrics.,"Mido gateway brokers providers, shows credit multipliers, insulates from vendor policy.",GAP,L,A lightweight internal gateway (routing + per-call cost accounting) would power budgets & analytics.
21,Multi-Model / LLM,Local model support,Tasmania local LLM client; opencode/pi providers.,"Ollama, NVIDIA NIM.",Not emphasized (cloud SaaS).,STRENGTH,—,Echelon's local-LLM path fits its local-first thesis. Strength.
22,"Quality, Review & Guardrails",Review gates / quality pipeline,7 gates (architecture/code/QA/security/adversarial/UI/refinement) — all STUBBED in v0.1.,No built-in multi-gate review pipeline.,No code-review pipeline (business AI).,PARTIAL,L,"Designed & unique, but stubs. Implementing the gate runner for real is a top-3 priority."
23,"Quality, Review & Guardrails",Hallucination / faithfulness guardrail,None (security gate stubbed).,"Hallucination Guardrail: 0-10 faithfulness score vs reference, auto-runs before completion, retries.",Not advertised.,GAP,M,Borrow directly. A faithfulness scorer fits Echelon's quality-gate framing perfectly.
24,"Quality, Review & Guardrails",Human-in-the-loop approval,User-handler merge approval; override CLI; review-gate updated push.,human_input on tasks; Flow @human_feedback() pause/resume.,Admin approval flows.,STRENGTH,S,At/above parity. Add Flow-style typed pause/resume if Flows layer is built.
25,"Quality, Review & Guardrails",Output guardrails (function/LLM),Soul-package hard guardrails (prompt-level); no programmatic output validators.,"Function-based + LLM-based guardrails, chainable, guardrail_max_retries.",Role/integration controls.,GAP,M,Add programmatic + LLM output validators on agent/task results (CrewAI signature pattern).
26,"Quality, Review & Guardrails",Structured outputs,YAML schemas for artifacts; no runtime Pydantic-style typed outputs.,output_json / output_pydantic via Pydantic + instructor.,Structured app outputs.,GAP,S,"Add typed/JSON-schema output contracts for agent results. Cheap, high leverage for reliability."
27,Developer Experience,CLI scaffolding,9 CLI families (season/character/scope/kb/counselor/...).,crewai create/run/deploy/login/org/config — rich.,No public dev CLI (SaaS).,STRENGTH,—,At parity. Strong CLI surface already.
28,Developer Experience,No-code / visual builder,"Rich UIs (canvas, kanban, terminals) but no visual TEAM/flow builder.",Crew Studio: NL copilot + drag-drop canvas + Python export.,Drag-and-drop AI App Builder (no-code).,GAP,XL,Both competitors lean hard on no-code builders. A visual season/flow builder broadens Echelon's audience beyond devs.
29,Developer Experience,Testing / eval harness,Vitest + Bun suites for the app; no AGENT-output eval harness.,"crewai test: runs crew N times, LLM scores per-task/agent.",Not exposed.,GAP,L,An LLM-scored agent-eval loop (CrewAI pattern) would quantify season quality over time. Pairs with the flywheel.
30,Developer Experience,Training (human feedback),None.,crewai train: human-feedback loop persisted to .pkl (reliability complaints noted).,None.,GAP,L,Lower priority — CrewAI's own impl is buggy. Echelon's KB flywheel is a better-aligned learning mechanism.
31,Developer Experience,Replay / resume,rerun CLI family; season state on disk.,crewai replay -t task_id; Flow persist/resume/fork.,Re-run workflow from any step.,PARTIAL,M,Formalize replay-from-step + resume across all agent runs (Flow persist pattern).
32,Developer Experience,Templates / blueprints marketplace,Archetypes/themes are extensible YAML; skills.sh marketplace; no team blueprints exchange.,AMP blueprints from billions of deployments; Tool Repository.,Community workflow marketplace; MSP-published templates; AI-in-a-Box kit.,GAP,L,A shareable season/blueprint registry creates network effects. Both competitors invest here.
33,Developer Experience,API / SDK,HTTP API on :31415 (bearer auth); REST routes for agent control.,REST Kickoff API + webhook streaming.,Beta TypeScript SDK (models/apps/completions/files).,STRENGTH,S,Have it. Publish a typed client SDK + OpenAPI for external integrators.
34,Developer Experience,MCP support,7 MCP servers (orchestrator/kanban/vault/telegram/socialdata/x/world); custom MCP config.,"First-class MCP (managed + manual), thousands of servers.",Custom MCP servers w/ role-based access; public remote-mcp-server.,STRENGTH,—,Echelon is MCP-native already. Strength; add role-based MCP access (Hatz).
35,Observability & Monitoring,Execution tracing,Per-agent xterm output; statusline; no structured traces.,AMP traces (crewai traces); OTEL backbone; +Langfuse/Phoenix/Weave/MLflow integrations.,Audit trails / logging.,GAP,XL,Biggest enterprise gap. Add OpenTelemetry-based structured tracing of agent/tool/LLM spans. Foundation for everything below.
36,Observability & Monitoring,Usage / cost analytics,Token/cost tracking + activity patterns (usage tracking shipped).,Usage dashboards; usage_metrics; outcome tracking.,"Credit metering, per-client usage dashboards, model multipliers.",PARTIAL,M,Have basics. Build per-season/per-character cost dashboards; pairs with a gateway for accurate accounting.
37,Observability & Monitoring,Real-time monitoring dashboard,Dashboard component; live agent ticks.,Control-plane real-time metrics/logs/traces.,Admin dashboard + usage views.,PARTIAL,M,"Extend dashboard to a true ops view (active agents, queue, errors, spend)."
38,Observability & Monitoring,Audit logs,Merges serialized through one authority (audit trail by design); no formal immutable audit log.,Immutable audit trails (AMP).,Audit trails / logging per tenant.,GAP,M,"Add an append-only audit log of agent actions, approvals, overrides. Needed for any enterprise sale."
39,Deployment & Hosting,Local desktop app,"Electron desktop, runs on user machine, BYO keys, no cloud dependency.",Not a desktop app (framework/SaaS).,Not a desktop app (SaaS).,UNIQUE,—,Local-first privacy is a real differentiator for security-conscious buyers. Protect it.
40,Deployment & Hosting,Managed cloud / SaaS,None (deliberate local-first thesis).,"AMP Cloud, serverless auto-scaling.",Fully managed multi-tenant SaaS.,DIFFERENT,XXL,Strategic fork-in-road: a hosted Echelon would unlock teams/enterprise but contradicts the current thesis. Decide deliberately.
41,Deployment & Hosting,Self-hosted / on-prem / VPC,Inherently self-hosted (it's local). No server/VPC deployment.,CrewAI Factory: containerized on-prem + private VPC (AWS/Azure/GCP); single-tenant.,AWS US-East only; no on-prem.,DIFFERENT,XL,"If a team/server edition is pursued, containerized self-host (CrewAI Factory model) is the enterprise-friendly path."
42,Enterprise: Multi-tenancy & Access,Multi-tenancy,Single-user; multi-SEASON isolation but not multi-TENANT.,Org/workspace constructs in AMP.,"Core strength: tenant/org/user isolation, per-tenant branding & templates.",GAP,XXL,Requires the SaaS fork. Hatz's tenant/org/user model is the reference if Echelon ever goes multi-tenant.
43,Enterprise: Multi-tenancy & Access,White-label / branding,"Theming exists for CHARACTERS, not for reseller branding. (landing/ still Dorothy-branded.)",Limited.,Core: per-partner branded instances; clients never see Hatz.,DIFFERENT,L,Only relevant under a reseller/agency motion. Echelon's theme engine is a head-start if pursued.
44,Enterprise: Multi-tenancy & Access,RBAC,capabilities/access-matrix.yaml defines capability SCOPES for agents; no human-user RBAC.,Granular RBAC roles in control plane.,RBAC across users + per-role integration/MCP controls.,GAP,L,Echelon has agent-capability RBAC; lacks human-user RBAC. Needed for any team/enterprise edition.
45,Enterprise: Multi-tenancy & Access,SSO (SAML/OIDC),None (single-user desktop).,"Entra ID, Okta, Auth0.","SAML 2.0 (Okta/Entra/generic), domain verification.",GAP,L,Table-stakes for enterprise; only meaningful once there is a hosted/multi-user edition.
46,Enterprise: Multi-tenancy & Access,SCIM provisioning,None.,Not emphasized.,SCIM lifecycle sync from IdP.,GAP,M,Follows SSO. Defer until hosted edition exists.
47,Enterprise: Multi-tenancy & Access,MFA,None (local app).,Via customer IdP.,Enforced MFA all tiers + Microsoft OAuth.,GAP,S,Trivial relative to hosting; bundled with SSO work.
48,Enterprise: Multi-tenancy & Access,Admin console,15+ section Settings panel (single-user).,"Crew Control Plane (governance, RBAC, scheduling, usage).",admin.hatz.ai multi-tenant portal + workspace templates.,DIFFERENT,L,A team-admin console is the gateway to enterprise; depends on multi-user model.
49,Security & Compliance,SOC 2,None (no hosted service to certify).,Claimed SOC2 (no public report surfaced — verify).,"SOC 2 Type I & II + SOC 3, NDA-gated reports, third-party pentests.",GAP,XXL,"Only applies to a hosted edition. Hatz is the model: actually certified, not just claimed."
50,Security & Compliance,HIPAA / GDPR,Local-first means data never leaves the machine (a privacy story in itself).,"Claims HIPAA/FedRAMP High (unverified, no BAA surfaced).",NOT publicly confirmed (open question for regulated buyers).,DIFFERENT,XL,"Echelon's local-first model sidesteps much of this — a marketing angle, not a gap, for solo use."
51,Security & Compliance,Data isolation / no-train guarantee,Data stays local; no telemetry/phone-home (per cost-model doc).,Telemetry controversy historically; now opt-in + OTEL_SDK_DISABLED.,Inference layer separated from history store; no-train agreements (get in writing).,STRENGTH,—,Local-first + no telemetry is a clean privacy story. Make it explicit & audited.
52,Security & Compliance,Sandboxed code execution,Agents run via CLI providers; relies on host; worktree isolation but not a hard sandbox.,External sandboxes (allow_code_execution deprecated); 2026 CVEs around sandbox escape/RCE.,N/A (no code-exec product).,GAP,L,"Learn from CrewAI's CVEs: if Echelon adds code-exec, sandbox properly (no fallback-to-unsafe)."
53,Security & Compliance,Secrets handling,app-settings.json written owner-only (0600); API token file.,Env vars / IdP.,Managed credential store per tenant.,STRENGTH,S,Solid baseline. Consider OS keychain integration for keys.
54,Integrations,Business app integrations,"Telegram, Slack, GitHub, JIRA, X (post + read).",23+ OAuth (Gmail/Slack/Teams/Jira/Notion/Salesforce/HubSpot/Stripe/Shopify/...).,"40+ (M365 deep, Google, ConnectWise, Salesforce, HubSpot, Notion, Linear, ...).",GAP,L,Echelon trails badly on breadth. Adopt an OAuth-connector framework + the Zapier/Make/n8n bridge to leapfrog cheaply.
55,Integrations,PSA / MSP integrations,None.,None.,"ConnectWise, Autotask, HaloPSA, Pax8, ScalePad (channel moat).",DIFFERENT,N/A,Only relevant if Echelon ever pursues an MSP channel. Non-goal today.
56,Integrations,Voice / phone agents,None.,Not core.,AI Phone / voice agents with post-call workflows.,GAP,L,Novel but off-thesis for a dev-team factory. Park unless product direction shifts.
57,Integrations,Automation bridges (Zapier/Make/n8n),"None (custom webhooks only, with SSRF protection).",Composio integration tool.,"Zapier, Make, n8n natively.",GAP,M,Cheapest way to 1000s of integrations. High ROI. Build the bridge nodes.
58,Business Model / GTM,Pricing model,Free / BYO API keys; ~$1-5 API cost per season; default $50 counselor budget cap.,Free tier (~50 exec/mo); Pro ~$25; Enterprise custom (unstable public pricing).,"Channel-gated, no public price; pooled non-rollover credits; ~$190/mo entry (reported).",DIFFERENT,—,Echelon's near-zero-cost local model is a genuine wedge vs per-seat SaaS. Lead with it.
59,Business Model / GTM,Channel / reseller program,None.,Partner motions exist; mainly direct/PLG.,"Entire GTM: ~40k MSPs, NFR packages, certifications, partner Discord, AI-in-a-Box.",DIFFERENT,N/A,Strategic non-goal unless Echelon productizes for agencies. Note as future option.
60,Business Model / GTM,Community / learning,Slide deck + docs; no academy.,"learn.crewai.com, 100k+ certified devs, 50k Discord — strong moat.","Partner enablement, self-paced modules.",GAP,M,"Content/community compounds adoption. Low-cost, high-leverage; start with docs + examples gallery."
61,Echelon-Unique Strengths,Themed character UX,Recognizable personas with consistent voice/quirks; trust through familiarity.,None.,None.,UNIQUE,—,Protect & lean in. Strongest emotional differentiator.
62,Echelon-Unique Strengths,Game-world / spatial UIs,"Pallet Town overworld, 3D AgentWorld, infinite canvas, terminal grid.",None.,None.,UNIQUE,—,"Delightful, demo-able, unique. Polish the few state-machine bugs noted in codebase map."
63,Echelon-Unique Strengths,"Author-once, build-to-many targets","Same team defs compile to Claude Code plugin, OpenClaw bundle, Echelon season-pack.",Python-only.,SaaS-only.,UNIQUE,—,Portability/no-lock-in story competitors can't match. Finish openclaw pin (currently TBD).
64,Echelon-Unique Strengths,Advisory board (SME consult),12 tech-luminary advisors + Stephen Hawking oracle for high-level consults.,None.,None.,UNIQUE,—,Distinctive. Wire it to the real counselor backend when that lands.
